Definition,NumberScale,IndicatorType,MeasurementType,IsQuickStat,ShortName,IndicatorId,Level1,IndicatorTotalId,Level2,Level3,SDRID,IndicatorOldId,TagIds,DenominatorWeightedId,Label,IndicatorOrder,Denominator,QuickStatOrder,IndicatorSpecial1Id,DenominatorUnweightedId,IndicatorSpecial2Id
Percentage of the de jure population in the lowest wealth quintile,1,I,Percent,0,Lowest,HC_WIXQ_P_LOW,Household Characteristics,HC_WIXQ_P_TOT,Wealth quintiles,Population,HCWIXQPLOW,,,HC_WIXQ_P_NUM,Population in the lowest wealth quintile,260702010,De jure population,,,HC_WIXQ_P_UNW,
Percentage of the de jure population in the second wealth quintile,1,I,Percent,0,Second,HC_WIXQ_P_2ND,Household Characteristics,HC_WIXQ_P_TOT,Wealth quintiles,Population,HCWIXQP2ND,,,HC_WIXQ_P_NUM,Population in the second wealth quintile,260702020,De jure population,,,HC_WIXQ_P_UNW,
Percentage of the de jure population in the middle wealth quintile,1,I,Percent,0,Middle,HC_WIXQ_P_MID,Household Characteristics,HC_WIXQ_P_TOT,Wealth quintiles,Population,HCWIXQPMID,,,HC_WIXQ_P_NUM,Population in the middle wealth quintile,260702030,De jure population,,,HC_WIXQ_P_UNW,
Percentage of the de jure population in the fourth wealth quintile,1,I,Percent,0,Fourth,HC_WIXQ_P_4TH,Household Characteristics,HC_WIXQ_P_TOT,Wealth quintiles,Population,HCWIXQP4TH,,,HC_WIXQ_P_NUM,Population in the fourth wealth quintile,260702040,De jure population,,,HC_WIXQ_P_UNW,
Percentage of the de jure population in the highest wealth quintile,1,I,Percent,0,Highest,HC_WIXQ_P_HGH,Household Characteristics,HC_WIXQ_P_TOT,Wealth quintiles,Population,HCWIXQPHGH,,,HC_WIXQ_P_NUM,Population in the highest wealth quintile,260702050,De jure population,,,HC_WIXQ_P_UNW,
Percentage of the de jure population total,1,T,Percent,0,Total,HC_WIXQ_P_TOT,Household Characteristics,,Wealth quintiles,Population,HCWIXQPTOT,,,HC_WIXQ_P_NUM,Population total,260702060,De jure population,,,HC_WIXQ_P_UNW,
Number of de jure persons,0,D,Number,0,Number of persons,HC_WIXQ_P_NUM,Household Characteristics,,Wealth quintiles,Population,HCWIXQPNUM,,,,Number of persons,260702070,De jure population,,,HC_WIXQ_P_UNW,
Number of de pure persons (unweighted),0,U,Number,0,Number of persons (unweighted),HC_WIXQ_P_UNW,Household Characteristics,,Wealth quintiles,Population,HCWIXQPUNW,,,HC_WIXQ_P_NUM,Number of persons (unweighted),260702080,De jure population,,,,
The Gini coefficient indicates the level of concentration of wealth in the country,1,I,Percent,0,Gini Coefficient,HC_WIXQ_P_GNI,Household Characteristics,,Wealth quintiles,Population,HCWIXQPGNI,,,HC_WIXQ_P_NUM,Wealth index Gini coefficient,260702090,De jure population,,,HC_WIXQ_P_UNW,
Percentage of the de facto household population age 0-4,1,I,Percent,0,<5,HC_AGEG_P_004,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP004,3134000,,HC_AGEG_P_NUM,Percentage of population age 0-4,260762010,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 5-9,1,I,Percent,0,5-9,HC_AGEG_P_059,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP059,3134001,,HC_AGEG_P_NUM,Percentage of population age 5-9,260762020,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 10-14,1,I,Percent,0,10-14,HC_AGEG_P_104,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP104,3134002,,HC_AGEG_P_NUM,Percentage of population age 10-14,260762030,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 15-19,1,I,Percent,0,15-19,HC_AGEG_P_159,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP159,3134003,,HC_AGEG_P_NUM,Percentage of population age 15-19,260762040,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 20-24,1,I,Percent,0,20-24,HC_AGEG_P_204,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP204,3134004,,HC_AGEG_P_NUM,Percentage of population age 20-24,260762050,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 25-29,1,I,Percent,0,25-29,HC_AGEG_P_259,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP259,3134005,,HC_AGEG_P_NUM,Percentage of population age 25-29,260762060,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 30-34,1,I,Percent,0,30-34,HC_AGEG_P_304,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP304,3134006,,HC_AGEG_P_NUM,Percentage of population age 30-34,260762070,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 35-39,1,I,Percent,0,35-39,HC_AGEG_P_359,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP359,3134007,,HC_AGEG_P_NUM,Percentage of population age 35-39,260762080,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 40-44,1,I,Percent,0,40-44,HC_AGEG_P_404,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP404,3134008,,HC_AGEG_P_NUM,Percentage of population age 40-44,260762090,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 45-49,1,I,Percent,0,45-49,HC_AGEG_P_459,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP459,3134009,,HC_AGEG_P_NUM,Percentage of population age 45-49,260762100,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 50-54,1,I,Percent,0,50-54,HC_AGEG_P_504,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP504,3134010,,HC_AGEG_P_NUM,Percentage of population age 50-54,260762110,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 55-59,1,I,Percent,0,55-59,HC_AGEG_P_559,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP559,3134011,,HC_AGEG_P_NUM,Percentage of population age 55-59,260762120,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 60-64,1,I,Percent,0,60-64,HC_AGEG_P_604,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP604,3134012,,HC_AGEG_P_NUM,Percentage of population age 60-64,260762130,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 65-69,1,I,Percent,0,65-69,HC_AGEG_P_659,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP659,3134013,,HC_AGEG_P_NUM,Percentage of population age 65-69,260762140,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 70-74,1,I,Percent,0,70-74,HC_AGEG_P_704,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP704,3134014,,HC_AGEG_P_NUM,Percentage of population age 70-74,260762150,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 75-79,1,I,Percent,0,75-79,HC_AGEG_P_759,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP759,3134015,,HC_AGEG_P_NUM,Percentage of population age 75-79,260762160,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population age 80 +,1,I,Percent,0,80 +,HC_AGEG_P_80P,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP80P,3134016,,HC_AGEG_P_NUM,Percentage of population age 80 +,260762170,De facto population,,HC_AGEG_P_DKM,HC_AGEG_P_UNW,
Percentage of the de facto household population with 'don't know' or missing information on age,1,S,Percent,0,Missing,HC_AGEG_P_DKM,Household Characteristics,,Age of population,Population,HCAGEGPDKM,3134017,,HC_AGEG_P_NUM,Percentage of population with age don't know or missing,260762180,De facto population,,,HC_AGEG_P_UNW,
Percentage of the de facto household population: Total,1,T,Percent,0,Total,HC_AGEG_P_TOT,Household Characteristics,,Age of population,Population,HCAGEGPTOT,3149000,,HC_AGEG_P_NUM,Percentage of population: Total,260762190,De facto population,,,HC_AGEG_P_UNW,
Number of de facto household members,0,D,Number,0,Number of persons,HC_AGEG_P_NUM,Household Characteristics,,Age of population,Population,HCAGEGPNUM,3149001,,,Household population,260762200,De facto population,,,HC_AGEG_P_UNW,
Number of de facto household members (unweighted),0,U,Number,0,Number of persons (unweighted),HC_AGEG_P_UNW,Household Characteristics,,Age of population,Population,HCAGEGPUNW,,,HC_AGEG_P_NUM,Household population (unweighted),260762210,De facto population,,,,
Percentage of the de facto population age 0-14,1,I,Percent,0,0-14,HC_AGEG_P_014,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGP014,,,HC_AGEG_P_NUM,Dependency age group 0-14,260762250,De facto population,,HC_AGEG_P_DK1,HC_AGEG_P_UNW,
Percentage of the de facto population age 15-64,1,I,Percent,0,15-64,HC_AGEG_P_WRK,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGPWRK,,,HC_AGEG_P_NUM,Dependency age group 15-64,260762260,De facto population,,HC_AGEG_P_DK1,HC_AGEG_P_UNW,
Percentage of the de facto population age 65+,1,I,Percent,0,65+,HC_AGEG_P_SNR,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGPSNR,,,HC_AGEG_P_NUM,Dependency age group 65+,260762270,De facto population,,HC_AGEG_P_DK1,HC_AGEG_P_UNW,
Percentage of the de facto household population with DK/missing information on age,1,S,Percent,0,Missing,HC_AGEG_P_DK1,Household Characteristics,,Age of population,Population,HCAGEGPDK1,,,HC_AGEG_P_NUM,Percentage of population with age DK/missing,260762275,De facto population,,,HC_AGEG_P_UNW,
Percentage of the de facto population who are children age 0-17,1,I,Percent,0,0-17,HC_AGEG_P_CHL,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGPCHL,,,HC_AGEG_P_NUM,Child population 0-17,260762280,De facto population,,HC_AGEG_P_DK2,HC_AGEG_P_UNW,
Percentage of the de facto population who are adults age 18+,1,I,Percent,0,18+,HC_AGEG_P_ADT,Household Characteristics,HC_AGEG_P_TOT,Age of population,Population,HCAGEGPADT,,,HC_AGEG_P_NUM,Adult population 18+,260762290,De facto population,,HC_AGEG_P_DK2,HC_AGEG_P_UNW,
Percentage of the de facto household population with DK/missing information on age,1,S,Percent,0,Missing,HC_AGEG_P_DK2,Household Characteristics,,Age of population,Population,HCAGEGPDK2,,,HC_AGEG_P_NUM,Percentage of population with age DK/missing,260762295,De facto population,,,HC_AGEG_P_UNW,
Percentage of the de facto population who are adolescents age 10-19,1,I,Percent,0,10-19,HC_AGEG_P_ADL,Household Characteristics,,Age of population,Population,HCAGEGPADL,,,HC_AGEG_P_NUM,Adolescents 10-19,260762300,De facto population,,,HC_AGEG_P_UNW,
Percentage of households with members age 65+,1,I,Percent,0,With members age 65+,HC_OLDR_H_W65,Household Characteristics,,Older age persons,Households,HCOLDRHW65,,89,HC_OLDR_H_NUM,Households with members age 65+,260781050,Households,,,HC_OLDR_H_UNW,
Percentage of households with only members age 65+,1,I,Percent,0,Only members age 65+,HC_OLDR_H_O65,Household Characteristics,,Older age persons,Households,HCOLDRHO65,,89,HC_OLDR_H_NUM,Households with only members age 65+,260781060,Households,,,HC_OLDR_H_UNW,
Percentage of households with 3 generations,1,I,Percent,0,With 3 generations,HC_OLDR_H_3GN,Household Characteristics,,Older age persons,Households,HCOLDRH3GN,,89,HC_OLDR_H_NUM,Households with 3 generations,260781070,Households,,,HC_OLDR_H_UNW,
Number of households,0,D,Number,0,Number of households,HC_OLDR_H_NUM,Household Characteristics,,Older age persons,Households,HCOLDRHNUM,,,,Number of households,260781080,Households,,,HC_OLDR_H_UNW,
Number of households (unweighted),0,U,Number,0,Number of households (unweighted),HC_OLDR_H_UNW,Household Characteristics,,Older age persons,Households,HCOLDRHUNW,,,HC_OLDR_H_NUM,Number of households (unweighted),260781090,Households,,,,
Percentage of the de jure population living in non-nuclear families,1,I,Percent,0,Living in non-nuclear families,HC_OLDR_P_NNC,Household Characteristics,,Older age persons,Population,HCOLDRPNNC,,89,HC_OLDR_P_NUM,Population living in non-nuclear families,260782010,De jure population,,,HC_OLDR_P_UNW,
Percentage of the de jure population age 65+,1,I,Percent,0,65+,HC_OLDR_P_65P,Household Characteristics,,Older age persons,Population,HCOLDRP65P,,89,HC_OLDR_P_NUM,De jure population age 65+,260782020,De jure population,,,HC_OLDR_P_UNW,
Number of de jure persons,0,D,Number,0,Number of persons,HC_OLDR_P_NUM,Household Characteristics,,Older age persons,Population,HCOLDRPNUM,,,,Number of de jure persons,260782030,De jure population,,,HC_OLDR_P_UNW,
Number of de jure persons (unweighted),0,U,Number,0,Number of persons (unweighted),HC_OLDR_P_UNW,Household Characteristics,,Older age persons,Population,HCOLDRPUNW,,,HC_OLDR_P_NUM,Number of de jure persons (unweighted),260782040,De jure population,,,,
Percentage of young women in category,1,I,Percent,0,Weighted percent,HC_YTHC_W_PCT,Household Characteristics,,Youth Characteristics,Women,HCYTHCWPCT,,,,Percentage of young women,260793001,Young women age 10-24,,,,
Percentage of young men in category,1,I,Percent,0,Weighted percent,HC_YTHC_M_PCT,Household Characteristics,,Youth Characteristics,Men,HCYTHCMPCT,,,,Percentage of young men,260794002,Young men age 10-24,,,,
Percentage of young people in category,1,I,Percent,0,Weighted percent,HC_YTHC_B_PCT,Household Characteristics,,Youth Characteristics,Both sexes,HCYTHCBPCT,,,,Percentage of young people,260795003,Young people age 10-24,,,,
Percentage of households headed by men,1,I,Percent,0,Male,HC_HHHD_H_MAL,Household Characteristics,HC_HHHD_H_TOT,Household headship,Households,HCHHHDHMAL,4144001,,HC_ORPH_H_NUM,Male-headed households,260801010,Households,,HC_HHHD_H_DKM,HC_ORPH_H_UNW,
Percentage of households headed by women,1,I,Percent,0,Female,HC_HHHD_H_FEM,Household Characteristics,HC_HHHD_H_TOT,Household headship,Households,HCHHHDHFEM,4144002,,HC_ORPH_H_NUM,Female-headed households,260801020,Households,,HC_HHHD_H_DKM,HC_ORPH_H_UNW,
Percentage of households total,1,T,Percent,0,Total,HC_HHHD_H_TOT,Household Characteristics,,Household headship,Households,HCHHHDHTOT,,,HC_ORPH_H_NUM,Households total,260801030,Households,,,HC_ORPH_H_UNW,
Percentage of households with Don't know or missing information on sex of head of household,1,S,Percent,0,Don't know or missing,HC_HHHD_H_DKM,Household Characteristics,,Household headship,Households,HCHHHDHDKM,,,HC_ORPH_H_NUM,Sex of head of household unknown/missing,260801090,Households,,,HC_ORPH_H_UNW,
Percentage of households with 0 usual members,1,I,Percent,0,0,HC_MEMB_H_0MM,Household Characteristics,HC_MEMB_H_TOT,Number of usual members,Households,HCMEMBH0MM,4138000,,HC_ORPH_H_NUM,Households with 0 usual members,260831010,Households,,,HC_ORPH_H_UNW,
Percentage of households with 1 usual members,1,I,Percent,0,1,HC_MEMB_H_1MM,Household Characteristics,HC_MEMB_H_TOT,Number of usual members,Households,HCMEMBH1MM,4138001,,HC_ORPH_H_NUM,Households with 1 usual members,260831020,Households,,,HC_ORPH_H_UNW,
Percentage of households with 2 usual members,1,I,Percent,0,2,HC_MEMB_H_2MM,Household Characteristics,HC_MEMB_H_TOT,Number of usual members,Households,HCMEMBH2MM,4138002,,HC_ORPH_H_NUM,Households with 2 usual members,260831030,Households,,,HC_ORPH_H_UNW,
Percentage of households with 3 usual members,1,I,Percent,0,3,HC_MEMB_H_3MM,Household Characteristics,HC_MEMB_H_TOT,Number of usual members,Households,HCMEMBH3MM,4138003,,HC_ORPH_H_NUM,Households with 3 usual members,260831040,Households,,,HC_ORPH_H_UNW,
Percentage of households with 4 usual members,1,I,Percent,0,4,HC_MEMB_H_4MM,Household Characteristics,HC_MEMB_H_TOT,Number of usual members,Households,HCMEMBH4MM,4138004,,HC_ORPH_H_NUM,Households with 4 usual members,260831050,Households,,,HC_ORPH_H_UNW,
